rank_by_test_macro_f1,experiment,n_folds,test_macro_f1_mean,test_macro_f1_std,test_acc_mean,test_acc_std,test_loss_mean,val_macro_f1_mean,val_acc_mean,val_loss_mean
1,finetune_supervised_ce_unweighted_mixup_0p8,5,0.41661693344037554,0.05393166462463973,0.5387131995351173,0.04126496853423182,1.0314140430796381,0.4149834637407633,0.5689395478188654,0.951084609553253
2,lin_eval_supervised_ce_weighted_sampling_unweighted,5,0.4047605960116695,0.01769661291650286,0.5043952131075419,0.02199747117073739,1.05221556263104,0.40949914845280955,0.5173225620683627,1.057414347522502
3,lin_eval_supervised_ce_unweighted,5,0.3923933894127459,0.03394101750309647,0.49742378169775425,0.05240670429800683,1.0614922095757444,0.3969695885817515,0.5181537044322057,1.0448234887130767
4,lin_eval_supervised_focal_g2p0_unweighted,5,0.3857995325431498,0.03361781650005887,0.49992168764771505,0.03371019273178716,0.49278183670010445,0.4032232240567706,0.5169718397587202,0.49075043248226724
5,lin_eval_supervised_ce_unweighted_hflip,5,0.383493880379901,0.03517923307355675,0.4970674013961685,0.03216531408095161,1.0578941731806284,0.38754923665162067,0.5109685822624356,1.0400545078319825
6,lin_eval_supervised_ce_unweighted_mixup_0p8,5,0.3833185856566793,0.021326116915994456,0.5156013504506656,0.020292792661164547,1.00172403084842,0.39556388995315184,0.5459321116356325,0.9868851610090111
7,lin_eval_supervised_ce_unweighted_mixup_0p2,5,0.3792818584268488,0.027368240541891294,0.5078119607434676,0.031174152059594604,1.0275444182692173,0.403876983610111,0.5430801523297492,1.0074371223196001
8,lin_eval_supervised_ce_unweighted_hflip_brightness_contrast,5,0.37901525832703337,0.025138580471112934,0.4975891972056356,0.037410802392269946,1.0298618736475247,0.3932897199973602,0.5302638495497859,1.0117416160697859
9,lin_eval_supervised_focal_g1p5_unweighted,5,0.3758794930010915,0.03541165911425821,0.4878343635055964,0.05895017834811579,0.6282327566137813,0.4006180441577489,0.5195890014424337,0.5867278430935688
10,finetune_supervised_focal_g2p0_unweighted,5,0.37395235474599237,0.059414170326141005,0.5050247226137637,0.051531318489784296,0.5807104477321985,0.4156709718737127,0.5773738449602238,0.511389031050229
11,finetune_supervised_focal_g1p5_unweighted,5,0.3736740553190757,0.05039413807861909,0.5160411480959426,0.051180641459367224,0.6396596435650699,0.4060570536729522,0.5800642910219425,0.546560221999657
12,finetune_supervised_ce_unweighted_hflip_brightness_contrast,5,0.37290277976159997,0.07006379536751363,0.5200070837331111,0.040317565842253135,1.1317627833124753,0.38854118532610327,0.5546821367689483,1.0681711056217758
13,lin_eval_supervised_ce_class_weighted,5,0.3705393224038352,0.030876861983562848,0.4542816331309482,0.04640145040659014,1.1426313658697187,0.4087349373575994,0.5206061292508086,1.105923017243341
14,finetune_supervised_ce_unweighted_mixup_0p2,5,0.3572319668623383,0.059668628517426,0.4969454979317993,0.0602422236732769,1.1967856689793162,0.4210887034452567,0.5764398417693855,1.1038013673963554
15,finetune_supervised_ce_unweighted_hflip,5,0.34888504394324454,0.06789784118287376,0.48319538401730183,0.05179301325243609,1.256779762855789,0.3961717854390177,0.5731403411574438,1.2175773485976507
16,finetune_supervised_ce_class_weighted,5,0.3457302777929308,0.05896274466864721,0.4289428217647396,0.08209960765212915,1.4587486345526655,0.4283575537698279,0.5420300463327214,1.2052091187848495
17,finetune_supervised_ce_weighted_sampling_unweighted,5,0.3335460773910045,0.032737272357672216,0.45525120034709077,0.0806467494701417,1.176394723287184,0.40827781646193884,0.5479098817641402,1.0151797470208888
18,finetune_supervised_ce_unweighted_hflip_elastic_gnoise,5,0.28090153020926345,0.042703232161027865,0.4382403958294369,0.06261550658163169,1.294141346269245,0.33322966467590825,0.48489710857592444,1.1570557840422573
19,lin_eval_supervised_ce_unweighted_hflip_elastic_gnoise,5,0.2004091150164836,0.024265085841044014,0.4292242308680665,0.07674639909410182,2.626814316698383,0.21900321091286343,0.4918081410088294,2.343147636349358
